code,description,recode
0,light rail,0
1,subway,1
2,rail,2
3,bus,3
4,ferry,4
5,cable tram,5
6,aerial lift,6
7,funicular,7
11,trolleybus,11
12,monorail,12
31,school bus,31
100,Railway Service,2
101,High Speed Rail Service,2
102,Long Distance Trains,2
103,Inter Regional Rail Service,2
104,Car Transport Rail Service,2
105,Sleeper Rail Service,2
106,Regional Rail Service,2
107,Tourist Railway Service,2
108,Rail Shuttle (Within Complex),0
109,Suburban Railway,0
110,Replacement Rail Service,2
111,Special Rail Service,2
112,Lorry Transport Rail Service,2
113,All Rail Services,2
114,Cross-Country Rail Service,2
115,Vehicle Transport Rail Service,2
116,Rack and Pinion Railway,2
117,Additional Rail Service,2
200,Coach Service,3
201,International Coach Service,3
202,National Coach Service,3
203,Shuttle Coach Service,3
204,Regional Coach Service,3
205,Special Coach Service,3
206,Sightseeing Coach Service,3
207,Tourist Coach Service,3
208,Commuter Coach Service,3
209,All Coach Services,3
400,Urban Railway Service,0
401,Metro Service,1
402,Underground Service,1
403,Urban Railway Service,0
404,All Urban Railway Services,0
405,Monorail,12
700,Bus Service,3
701,Regional Bus Service,3
702,Express Bus Service,3
703,Stopping Bus Service,3
704,Local Bus Service,3
705,Night Bus Service,3
706,Post Bus Service,3
707,Special Needs Bus,3
708,Mobility Bus Service,3
709,Mobility Bus for Registered Disabled,3
710,Sightseeing Bus,3
711,Shuttle Bus,3
712,School Bus,31
713,School and Public Service Bus,31
714,Rail Replacement Bus Service,3
715,Demand and Response Bus Service,3
716,All Bus Services,3
800,Trolleybus Service,11
900,Tram Service,0
901,City Tram Service,0
902,Local Tram Service,0
903,Regional Tram Service,0
904,Sightseeing Tram Service,0
905,Shuttle Tram Service,0
906,All Tram Services,0
1000,Water Transport Service,4
1100,Air Service,99
1200,Ferry Service,4
1300,Aerial Lift Service,6
1301,Telecabin Service,6
1302,Cable Car Service,6
1303,Elevator Service,6
1304,Chair Lift Service,6
1305,Drag Lift Service,6
1306,Small Telecabin Service,6
1307,All Telecabin Services,6
1400,Funicular Service,7
1500,Taxi Service,99
1501,Communal Taxi Service,99
1502,Water Taxi Service,4
1503,Rail Taxi Service,2
1504,Bike Taxi Service,99
1505,Licensed Taxi Service,99
1506,Private Hire Service Vehicle,99
1507,All Taxi Services,99
1700,Miscellaneous Service,99
1702,Horse-drawn Carriage,99
